NFTnames,average_price
"CryptoPunk #1013",265629.69193333335
"CryptoPunk #5977",264880
"CryptoPunk #6709",264701.82249999995
"CryptoPunk #8365",264599.2833333333
"CryptoPunk #564",263703.5111333333
"CryptoPunk #2996",263389.4333875
"CryptoPunk #3957",261602.55
"CryptoPunk #6667",261474.9
"CryptoPunk #7637",261281.0925
"CryptoPunk #2087",261127.75
"CryptoPunk #8115",261070.06590000002
"CryptoPunk #6893",260812
"CryptoPunk #8859",260471.16
"CryptoPunk #1721",260305.81408
"CryptoPunk #1735",260024.07356000002
"CryptoPunk #534",259803.63417499998
"CryptoPunk #6696",259406.79595
"CryptoPunk #3197",259168.8
"CryptoPunk #9017",259097.724265
"CryptoPunk #5193",259073.99145
"CryptoPunk #8153",258875.01304999998
"CryptoPunk #5224",258396.1943666667
"CryptoPunk #9603",257760.6824
"CryptoPunk #4434",257525.45
"CryptoPunk #5676",257162.3198
"CryptoPunk #8454",256896.01738
"CryptoPunk #3770",256752.42239999998
"CryptoPunk #1210",256681.375
"CryptoPunk #4765",256668.72548000002
"CryptoPunk #2222",256434.407
"CryptoPunk #5789",256281.48
"CryptoPunk #3937",256275.04119999998
"CryptoPunk #300",256167.1989
"CryptoPunk #2911",256101.6375
"CryptoPunk #3836",255976.70199999996
"CryptoPunk #8458",255893.90185
"CryptoPunk #8378",255347.60193333332
"CryptoPunk #3966",255045.68
"CryptoPunk #6139",254886.41763333333
"CryptoPunk #2584",254778.23274000004
"CryptoPunk #6110",254724.25000000003
"CryptoPunk #9684",254677.68757142857
"CryptoPunk #9849",254551.66650000002
"CryptoPunk #6704",254478.4
"CryptoPunk #1752",254190.98026666665
"CryptoPunk #8437",253795.61066666667
W#8130,253675.2
"CryptoPunk #6806",253603.62343333336
"CryptoPunk #5734",253420.21923333334
"CryptoPunk #3559",253028.675
"CryptoPunk #3976",252779.66
"CryptoPunk #8240",252675.1794
"CryptoPunk #636",252238.87214000002
"CryptoPunk #5371",252072.41663333334
"CryptoPunk #9123",252014.10583333333
"CryptoPunk #814",251297.82295
"CryptoPunk #2256",250816
"CryptoPunk #784",250053.39373333333
"CryptoPunk #6322",249977.01618888893
"CryptoPunk #1386",249613.51217142856
"CryptoPunk #9013",249207
"CryptoPunk #3625",249207
"CryptoPunk #5927",249207
"CryptoPunk #5151",249150.3015
"CryptoPunk #3873",248796.91753333333
"CryptoPunk #4679",248535.98238
"CryptoPunk #9054",248535.6266
"CryptoPunk #7969",248175.11764
"CryptoPunk #8690",248144.50499999998
"CryptoPunk #1915",247960.0026166667
"CryptoPunk #7146",247641.9803
"CryptoPunk #6390",247545.62
"CryptoPunk #2634",247467.48211666662
"CryptoPunk #608",247148.18747499998
"CryptoPunk #2675",246818.4
"CryptoPunk #5010",246486.3315
"CryptoPunk #3746",246388
"CryptoPunk #2130",246388
"CryptoPunk #5543",246171.8874
"CryptoPunk #7778",246091.3
"CryptoPunk #3578",245649
"CryptoPunk #7260",245223.9
"CryptoPunk #4526",244822.74029999998
"CryptoPunk #1316",244192.2081714286
"CryptoPunk #6459",244175.575
"CryptoPunk #5680",243994.9634
"CryptoPunk #6402",243758.575
"CryptoPunk #6977",243694.3
"CryptoPunk #2820",243545.07645
"CryptoPunk #2503",243453.37084
"CryptoPunk #8869",242900.33885
"CryptoPunk #9577",242481.81970000002
"CryptoPunk #4744",242307.804375
"CryptoPunk #9650",242100.36
"CryptoPunk #9124",241859.75268000006
"CryptoPunk #9809",241681.9892
"CryptoPunk #4222",241618.02721250002
"CryptoPunk #8838",241516.17573333334
"CryptoPunk #5625",241358.1413333333
"CryptoPunk #4914",241324.25711999997
"CryptoPunk #7765",240887.96625
"CryptoPunk #4893",240817.34103333336
"CryptoPunk #2524",240521.43725714282
"CryptoPunk #1611",240201.75
"CryptoPunk #5868",240079.06559999997
"CryptoPunk #7180",239864.34
"CryptoPunk #143",239696.07166666666
"CryptoPunk #9771",239619.2793
"CryptoPunk #9097",239210.29
"CryptoPunk #9242",239003.57
"CryptoPunk #774",238829.185
"CryptoPunk #4890",238456.119
"CryptoPunk #8250",238178.8125
"CryptoPunk #4940",237936.4297666667
"CryptoPunk #5924",237858.476875
"CryptoPunk #1927",237604.3584
"CryptoPunk #5862",237478.24000000002
"CryptoPunk #7737",237450.77038000003
"CryptoPunk #2528",237103.27
"CryptoPunk #3507",237076.29691999996
"CryptoPunk #6549",237034.166
"CryptoPunk #6308",236839.8586666667
"CryptoPunk #7168",236784.37562500002
"CryptoPunk #3491",236729.1348
"CryptoPunk #4608",236685.42858
"CryptoPunk #7404",236620.23
"CryptoPunk #4078",236583.19999999998
"CryptoPunk #8367",236245.61145
"CryptoPunk #6617",236050.14512857143
"CryptoPunk #2498",236044.948
"CryptoPunk #5530",235755.56475000002
"CryptoPunk #9045",235663.5
"CryptoPunk #6637",235638.155
"CryptoPunk #8713",235634.48020000002
"CryptoPunk #9654",235479.5
"CryptoPunk #7673",235476.26465
