event_date,usd_price,daily_average,ten_percent_of_earlier_DA,new_daily_average
07/08/2021,176433.7017,204594.0404,20459.40404,212944.8176
07/08/2021,149703.9525,204594.0404,20459.40404,212944.8176
07/08/2021,144641.5,204594.0404,20459.40404,212944.8176
07/08/2021,150427.16,204594.0404,20459.40404,212944.8176
07/08/2021,147534.33,204594.0404,20459.40404,212944.8176
07/08/2021,376067.9,204594.0404,20459.40404,212944.8176
07/08/2021,153291.0617,204594.0404,20459.40404,212944.8176
07/08/2021,318211.3,204594.0404,20459.40404,212944.8176
07/08/2021,147505.4017,204594.0404,20459.40404,212944.8176
07/08/2021,159018.8651,204594.0404,20459.40404,212944.8176
07/08/2021,144641.5,204594.0404,20459.40404,212944.8176
07/08/2021,141748.67,204594.0404,20459.40404,212944.8176
07/08/2021,135963.01,204594.0404,20459.40404,212944.8176
07/08/2021,148980.745,204594.0404,20459.40404,212944.8176
07/08/2021,150427.16,204594.0404,20459.40404,212944.8176
07/08/2021,257114.7304,204594.0404,20459.40404,212944.8176
07/08/2021,156212.82,204594.0404,20459.40404,212944.8176
07/08/2021,355818.09,204594.0404,20459.40404,212944.8176
07/08/2021,150427.16,204594.0404,20459.40404,212944.8176
07/08/2021,141748.67,204594.0404,20459.40404,212944.8176
07/08/2021,167784.14,204594.0404,20459.40404,212944.8176
07/08/2021,144641.5,204594.0404,20459.40404,212944.8176
07/08/2021,148951.8167,204594.0404,20459.40404,212944.8176
07/08/2021,147534.33,204594.0404,20459.40404,212944.8176
07/08/2021,173569.8,204594.0404,20459.40404,212944.8176
07/08/2021,157803.8765,204594.0404,20459.40404,212944.8176
07/08/2021,163155.612,204594.0404,20459.40404,212944.8176
07/08/2021,155923.537,204594.0404,20459.40404,212944.8176
07/08/2021,188033.95,204594.0404,20459.40404,212944.8176
07/08/2021,154766.405,204594.0404,20459.40404,212944.8176
07/08/2021,144583.6434,204594.0404,20459.40404,212944.8176
07/08/2021,1216984.653,204594.0404,20459.40404,212944.8176
07/08/2021,173511.9434,204594.0404,20459.40404,212944.8176
07/08/2021,185112.1917,204594.0404,20459.40404,212944.8176
07/08/2021,141719.7417,204594.0404,20459.40404,212944.8176
07/08/2021,245890.55,204594.0404,20459.40404,212944.8176
07/08/2021,159108.5428,204594.0404,20459.40404,212944.8176
07/08/2021,138855.84,204594.0404,20459.40404,212944.8176
07/08/2021,289283,204594.0404,20459.40404,212944.8176
07/08/2021,154766.405,204594.0404,20459.40404,212944.8176
07/08/2021,231426.4,204594.0404,20459.40404,212944.8176
07/08/2021,192633.5497,204594.0404,20459.40404,212944.8176
07/08/2021,506245.25,204594.0404,20459.40404,212944.8176
08/08/2021,132849.78,196531.5681,19653.15681,208092.2485
08/08/2021,199274.67,196531.5681,19653.15681,208092.2485
08/08/2021,157173.9421,196531.5681,19653.15681,208092.2485
08/08/2021,196111.58,196531.5681,19653.15681,208092.2485
08/08/2021,155624.028,196531.5681,19653.15681,208092.2485
08/08/2021,151828.32,196531.5681,19653.15681,208092.2485
08/08/2021,158154.5,196531.5681,19653.15681,208092.2485
08/08/2021,189785.4,196531.5681,19653.15681,208092.2485
08/08/2021,382733.89,196531.5681,19653.15681,208092.2485
08/08/2021,158059.6073,196531.5681,19653.15681,208092.2485
08/08/2021,474147.191,196531.5681,19653.15681,208092.2485
08/08/2021,158154.5,196531.5681,19653.15681,208092.2485
08/08/2021,166062.225,196531.5681,19653.15681,208092.2485
08/08/2021,189975.1854,196531.5681,19653.15681,208092.2485
08/08/2021,451341.3121,196531.5681,19653.15681,208092.2485
08/08/2021,151828.32,196531.5681,19653.15681,208092.2485
08/08/2021,218253.21,196531.5681,19653.15681,208092.2485
08/08/2021,158312.6545,196531.5681,19653.15681,208092.2485
08/08/2021,253047.2,196531.5681,19653.15681,208092.2485
08/08/2021,148665.23,196531.5681,19653.15681,208092.2485
08/08/2021,234068.66,196531.5681,19653.15681,208092.2485
08/08/2021,151670.1655,196531.5681,19653.15681,208092.2485
08/08/2021,173969.95,196531.5681,19653.15681,208092.2485
08/08/2021,166062.225,196531.5681,19653.15681,208092.2485
08/08/2021,189785.4,196531.5681,19653.15681,208092.2485
08/08/2021,148665.23,196531.5681,19653.15681,208092.2485
08/08/2021,155560.7662,196531.5681,19653.15681,208092.2485
08/08/2021,151828.32,196531.5681,19653.15681,208092.2485
08/08/2021,537725.3,196531.5681,19653.15681,208092.2485
08/08/2021,186306.001,196531.5681,19653.15681,208092.2485
08/08/2021,173969.95,196531.5681,19653.15681,208092.2485
08/08/2021,188804.8421,196531.5681,19653.15681,208092.2485
08/08/2021,159736.045,196531.5681,19653.15681,208092.2485
08/08/2021,205600.85,196531.5681,19653.15681,208092.2485
09/08/2021,158241.3,210174.5876,21017.45876,210174.5876
09/08/2021,132169.162,210174.5876,21017.45876,210174.5876
